Actividad de Consumo;Canal;CEDI;Código Cuenta Clave;Cuenta Clave;Cliente;Código Cliente;Código CUIT;Código Domicilio;Código Número;Código Postal;Código Territorio;Jefe Desarrollador;Latitud;Longitud;Lista de Precios;Outnum;Pack-Local;Sub-Canal;Tamaño de Cliente;Territorio;Zona
GROCERY SHOPPING;HIPERMERCADO;Planta Tucumán;001534;LIBERTAD;LIBERTAD S A;3100003125091;30612929455;AVDA ROCA;3450;40000;03;GALLARDO, IVAN ANDRES;-26,834322;-65,252647;310037;3125091;SUPER & HIPER;HIPERMERCADOS;;Tucumán;Argentina Sur
GROCERY SHOPPING;HIPERMERCADO;Planta Tucumán;001534;LIBERTAD;LIBERTAD S A;3100003125092;30612929455;DIAG 51/22;S/N;40000;03;GALLARDO, IVAN ANDRES;-26,795383;-65,208952;310037;3125092;SUPER & HIPER;HIPERMERCADOS;;Tucumán;Argentina Sur
GROCERY SHOPPING;HIPERMERCADO;Planta Tucumán;001534;LIBERTAD;LIBERTAD S A;3100003135228;30612929455;AVDA ROCA B°EJ.ARGENTINO;3450;40000;03;GALLARDO, IVAN ANDRES;-26,834322;-65,252647;310037;3135228;SUPER & HIPER;HIPERMERCADOS;;Tucumán;Argentina Sur
GROCERY SHOPPING;HIPERMERCADO;Planta Tucumán;001534;LIBERTAD;LIBERTAD S A;3100003135229;30612929455;DIAG 51/22;S/N;40000;03;GALLARDO, IVAN ANDRES;-26,795383;-65,208952;310037;3135229;SUPER & HIPER;HIPERMERCADOS;;Tucumán;Argentina Sur
GROCERY SHOPPING;HIPERMERCADO;Planta Tucumán;004947;WAL*MART                     1;DORINKA S.R.L.;3100003125038;30678138300;AVDA CAMINO DEL PERU;950;40000;03;GALLARDO, IVAN ANDRES;-26,800721;-65,260026;310038;3125038;SUPER & HIPER;HIPERMERCADOS;;Tucumán;Argentina Sur
GROCERY SHOPPING;HIPERMERCADO;Planta Tucumán;004947;WAL*MART                     1;DORINKA S.R.L.;3100003125039;30678138300;GUATEMALA ESQ SAN MARTIN;;41090;03;GALLARDO, IVAN ANDRES;-26,837592;-65,169107;310038;3125039;SUPER & HIPER;HIPERMERCADOS;;Tucumán;Argentina Sur
GROCERY SHOPPING;HIPERMERCADO;Planta Tucumán;004947;WAL*MART                     1;DORINKA S.R.L.;3100003125065;30678138300;JUJUY;2750;40000;03;GALLARDO, IVAN ANDRES;-26,866457;-65,22117;310038;3125065;SUPER & HIPER;HIPERMERCADOS;;Tucumán;Argentina Sur
GROCERY SHOPPING;HIPERMERCADO;Planta Tucumán;004947;WAL*MART                     1;DORINKA S.R.L.;3100003125070;30678138300;AV EJERCITO DEL NORTE;2325;40000;03;GALLARDO, IVAN ANDRES;-26,794784;-65,223981;310038;3125070;SUPER & HIPER;HIPERMERCADOS;;Tucumán;Argentina Sur
GROCERY SHOPPING;HIPERMERCADO;Sucursal Concepción;001238;VEA                          1;CENCOSUD S A                 ;3200003297302;30590360763;RIVADAVIA;740;41580;03;FARA, MIGUEL GUSTAVO;0;-65,620495;320031;3297302;SUPER & HIPER;HIPERMERCADOS;;Tucumán;Argentina Sur
GROCERY SHOPPING;HIPERMERCADO;Sucursal Concepción;004947;WAL*MART                     1;DORINKA S.R.L.;3200003282781;30678138300;AV. GUEMES;S/N;41460;03;FARA, MIGUEL GUSTAVO;-27,350405;-65,588892;320038;3282781;SUPER & HIPER;HIPERMERCADOS;;Tucumán;Argentina Sur
GROCERY SHOPPING;HIPERMERCADO;Sucursal Corrientes;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;3000003015311;30687310434;AVDA PEDRO FERRE;2981;34000;09;ESCOBAR JAVIER;-27,477715;-58,819573;910036;3015311;SUPER & HIPER;HIPERMERCADOS;;Corrientes;Argentina Este
GROCERY SHOPPING;HIPERMERCADO;Sucursal Corrientes;004947;WAL*MART                     1;DORINKA S.R.L.;3000003016202;30678138300;AVDA CENTENARIO;3550;34000;09;ESCOBAR JAVIER;-27,481183;-58,767009;910038;3016202;SUPER & HIPER;HIPERMERCADOS;;Corrientes;Argentina Este
GROCERY SHOPPING;HIPERMERCADO;Sucursal Corrientes;004947;WAL*MART                     1;DORINKA S.R.L.;3000003020452;30678138300;AV MAIPU Y LOS CONDORES;S/N;34000;09;ESCOBAR JAVIER;-27,499991;-58,814077;910038;3020452;SUPER & HIPER;HIPERMERCADOS;;Corrientes;Argentina Este
GROCERY SHOPPING;HIPERMERCADO;Sucursal Goya;004947;WAL*MART                     1;DORINKA S.R.L.;9200003020346;30678138300;AV SARMIENTO Y SOTO;S/N;03450;09;RIQUELME NATALIA;-29,154935;-59,272138;920038;3020346;SUPER & HIPER;HIPERMERCADOS;;Corrientes;Argentina Este
GROCERY SHOPPING;HIPERMERCADO;Sucursal Posadas;001534;LIBERTAD;LIBERTAD S A;4000004013000;30612929455;AV QUARANTA;3598;33000;10;SERFATY GUSTAVO;-27,40126;-55,916003;970037;4013000;SUPER & HIPER;HIPERMERCADOS;;Misiones;Argentina Este
GROCERY SHOPPING;HIPERMERCADO;Sucursal Posadas;001534;LIBERTAD;LIBERTAD S A;4000004033382;30612929455;AV URUGUAY;5893;33000;10;SERFATY GUSTAVO;-27,401897;-55,902265;970037;4033382;SUPER & HIPER;HIPERMERCADOS;;Misiones;Argentina Este
GROCERY SHOPPING;HIPERMERCADO;Sucursal Resistencia;001534;LIBERTAD;LIBERTAD S A;2000002004524;30612929455;AV. SABIN RTA AVELLANEDA;0;35000;08;FARIAS JUAN(SELF);-27,413483;-58,967977;810037;2004524;SUPER & HIPER;HIPERMERCADOS;;Chaco;Argentina Este
GROCERY SHOPPING;HIPERMERCADO;Sucursal Resistencia;004947;WAL*MART                     1;DORINKA S.R.L.;2000002000441;30678138300;AVDA MARCONI Y RUTA 11;0;35000;08;FARIAS JUAN(SELF);-27,445259;-59,021648;810038;2000441;SUPER & HIPER;HIPERMERCADOS;;Chaco;Argentina Este
GROCERY SHOPPING;HIPERMERCADO;Sucursal Santiago del Estero;001238;VEA                          1;CENCOSUD S A                 ;4100004126270;30590360763;AVDA RIVADAVIA Y EJERCITO;;42000;04;GARNICA PIRRO HUMBERTO;-27,777773;-64,258484;410031;4126270;SUPER & HIPER;HIPERMERCADOS;;Santiago;Argentina Norte
GROCERY SHOPPING;HIPERMERCADO;Sucursal Santiago del Estero;001238;VEA                          1;CENCOSUD S A                 ;4100004126280;30590360763;AVDA BELGRANO;;42000;04;GARNICA PIRRO HUMBERTO;-27,788812;-64,261652;410031;4126280;SUPER & HIPER;HIPERMERCADOS;;Santiago;Argentina Norte
GROCERY SHOPPING;HIPERMERCADO;Sucursal Santiago del Estero;001238;VEA                          1;CENCOSUD S A                 ;4100004126290;30590360763;25 DE MAYO Y CHACABUCO;;43000;04;GARNICA PIRRO HUMBERTO;-27,730067;-64,243553;410031;4126290;SUPER & HIPER;HIPERMERCADOS;;Santiago;Argentina Norte
GROCERY SHOPPING;HIPERMERCADO;Sucursal Santiago del Estero;001534;LIBERTAD;LIBERTAD S A;4100004104041;30612929455;AU TTE GRAL JUAN DOMINGO;110;43000;04;GARNICA PIRRO HUMBERTO;-27,767247;-64,25133;410037;4104041;SUPER & HIPER;HIPERMERCADOS;;Santiago;Argentina Norte
GROCERY SHOPPING;HIPERMERCADO;Sucursal Santiago del Estero;001534;LIBERTAD;LIBERTAD S A;4100004129834;30612929455;AU TTE GRAL JUAN DOMINGO;110;43000;04;GARNICA PIRRO HUMBERTO;-27,767247;-64,25133;410037;4129834;SUPER & HIPER;HIPERMERCADOS;;Santiago;Argentina Norte
GROCERY SHOPPING;HIPERMERCADO;Sucursal Santiago del Estero;004947;WAL*MART                     1;DORINKA S.R.L.;4100004202399;30678138300;AV BELGRANO (S)2663 ESQ S;;42000;04;GARNICA PIRRO HUMBERTO;-27,809808;-64,249938;410038;4202399;SUPER & HIPER;HIPERMERCADOS;;Santiago;Argentina Norte
GROCERY SHOPPING;HIPERMERCADO;Sucursal Santiago del Estero;004947;WAL*MART                     1;DORINKA S.R.L.;4100004206238;30678138300;ING CONTRERAS Y COLECTORA;;42000;04;GARNICA PIRRO HUMBERTO;-27,842348;-64,262498;410038;4206238;SUPER & HIPER;HIPERMERCADOS;;Santiago;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Cross Dock Curuzú Cuatiá;098760;DIA %                        1;DIA ARGENTINA S A;9300003018809;30685849751;RIVADAVIA;646;34000;09;ZALAZAR RODRIGO;-29,791115;-58,055107;930034;3018809;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Cross Dock Curuzú Cuatiá;098760;DIA %                        1;DIA ARGENTINA S A;9300003301497;30685849751;PUERTO SAN JULIAN ESQ.URU;;03460;09;ZALAZAR RODRIGO;-29,790898;-58,05514;930034;3301497;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Cross Dock Mercedes;098760;DIA %                        1;DIA ARGENTINA S A;9300003020487;30685849751;SAN MARTIN;1240;34000;09;ZALAZAR RODRIGO;-29,182948;-58,079455;930034;3020487;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Cross Dock Mercedes;098760;DIA %                        1;DIA ARGENTINA S A;9300003425508;30685849751;SAN MARTIN;2300;34000;09;ZALAZAR RODRIGO;-29,180272;-58,092842;930034;3425508;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Cross Dock Paso de los Libres;098760;DIA %                        1;DIA ARGENTINA S A;9300003400217;30685849751;COLON;960;03230;09;CORRO DANIEL;-29,7153;-57,084572;930034;3400217;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Corrientes;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158948;30590360763;MITRE;415;44000;01;AUTINO, SILVIA VALERIA;-24,78441;-65,41094;110031;1158948;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158949;30590360763;AVDA REYES CATOLICOS;1480;44000;01;AUTINO, SILVIA VALERIA;-24,771563;-65,397702;110031;1158949;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158950;30590360763;ESTECO;680;44000;01;AUTINO, SILVIA VALERIA;-24,797643;-65,417872;110031;1158950;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158951;30590360763;AVDA SARMIENTO ESQ. O'HIG;;44000;01;AUTINO, SILVIA VALERIA;-24,775982;-65,414803;110031;1158951;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158952;30590360763;LA FLORIDA;50;44000;01;AUTINO, SILVIA VALERIA;-24,79031;-65,41344;110031;1158952;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158953;30590360763;MENDOZA;259;44000;01;AUTINO, SILVIA VALERIA;-24,795547;-65,406737;110031;1158953;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158954;30590360763;ITUZAINGO;374;44000;01;AUTINO, SILVIA VALERIA;-24,794095;-65,414323;110031;1158954;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158955;30590360763;AV EX COMB DE MALVINAS;1600;44000;01;AUTINO, SILVIA VALERIA;-24,841618;-65,432875;110031;1158955;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158956;30590360763;20 DE FEBRERO;1437;44000;01;AUTINO, SILVIA VALERIA;-24,772628;-65,41362;110031;1158956;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158957;30590360763;AV.BOLIVIA Y AV.HOUSSAY;;44000;01;AUTINO, SILVIA VALERIA;-24,729845;-65,411914;110031;1158957;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001172406;30590360763;AV SAN MARTIN 725;;44000;01;RESINA, HUMBERTO ESTEBAN;-24,746235;-65,485561;110031;1172406;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001534;LIBERTAD;LIBERTAD S A;1100001111632;30612929455;AVDA TAVELLA Y EX COMB.DE;;44000;01;AUTINO, SILVIA VALERIA;-24,831033;-65,42879;110037;1111632;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001534;LIBERTAD;LIBERTAD S A;1100001170682;30612929455;AVDA TAVELLA Y EX COMB.DE;;44000;01;AUTINO, SILVIA VALERIA;-24,831033;-65,42879;110037;1170682;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;1100001117630;30687310434;AVDA VIRREY TOLEDO Y E.RI;;44000;01;AUTINO, SILVIA VALERIA;-24,78173;-65,402412;110036;1117630;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;1100001117660;30687310434;AVDA ENTRE RIOS Y REP.DE;;44000;01;AUTINO, SILVIA VALERIA;-24,779972;-65,427823;110036;1117660;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;1100001117665;30687310434;20 DE FEBRERO;31;44000;01;AUTINO, SILVIA VALERIA;-24,789028;-65,4135;110036;1117665;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;004947;WAL*MART                     1;DORINKA S.R.L.;1100001138311;30678138300;AVDA PARAGUAY ESQ BELGICA;1450;44000;01;AUTINO, SILVIA VALERIA;-24,805807;-65,420333;110038;1138311;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;004947;WAL*MART                     1;DORINKA S.R.L.;1100001148173;30678138300;AV FUERZA AEREA ESQ AGUAS;S/N;44000;01;AUTINO, SILVIA VALERIA;-24,725868;-65,403027;110038;1148173;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;1100001142816;30578411174;PELLEGRINI;981;44000;01;AUTINO, SILVIA VALERIA;-24,801818;-65,416187;110035;1142816;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;1100001155257;30578411174;ITUZAINGO;440;44000;01;AUTINO, SILVIA VALERIA;-24,795269;-65,414384;110035;1155257;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;1100001160433;30578411174;AVDA INDEPENDENCIA;578;44000;01;AUTINO, SILVIA VALERIA;-24,808333;-65,408711;110035;1160433;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150062;30685849751;INDEPENDENCIA SUC.806;1325;44000;01;AUTINO, SILVIA VALERIA;-24,807973;-65,398254;110034;1150062;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150063;30685849751;CORDOBA SUC.815;761;44000;01;AUTINO, SILVIA VALERIA;-24,799619;-65,409019;110034;1150063;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150082;30685849751;AV LAS AMERICAS;955;44000;01;AUTINO, SILVIA VALERIA;-24,811682;-65,383166;110034;1150082;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150155;30685849751;OLAVARRIA Y SAN JUAN SUC.;;44000;01;AUTINO, SILVIA VALERIA;-24,794647;-65,432385;110034;1150155;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150303;30685849751;VICENTE LOPEZ SUC.811;901;44000;01;AUTINO, SILVIA VALERIA;-24,778849;-65,404594;110034;1150303;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150404;30685849751;ROTONDA GRAN BOURG SUC.80;;44000;01;AUTINO, SILVIA VALERIA;-24,769302;-65,443538;110034;1150404;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150405;30685849751;25 DE MAYO SUC.8005;652;44000;01;AUTINO, SILVIA VALERIA;-24,781599;-65,414312;110034;1150405;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
